ticker,shares_bought,avg_price_per_share,date_of_transaction,order_amount,total_amount_bought
DKNG,1.0,36.59,2020-06-12,36.59,1198.550005859
JETS,1.0,17.82,2020-06-12,17.82,1216.370005859
NFLX,0.235844,424.0091,2020-06-12,100.0000021804,1316.3700080394
PENN,2.0,29.76,2020-06-12,59.52,1375.8900080394
PLUG,10.0,4.978,2020-06-12,49.78,1425.6700080394
BETZ,5.0,14.57,2020-06-12,72.85,1498.5200080394
WORK,1.0,30.12,2020-06-12,30.12,1528.6400080393998
TWLO,0.259906,192.3772,2020-06-12,49.999988543200004,1578.6399965826
TTD,0.142321,351.3185,2020-06-12,50.0000002385,1628.6399968210999
FB,0.110245,226.7677,2020-06-12,25.000005086499996,1653.6400019076
AAPL,0.14741,339.19,2020-06-12,49.999997900000004,1703.6399998076
GOOGL,0.035422,1411.5521,2020-06-12,49.999998486200006,1753.6399982937999
DDOG,0.064617,77.379,2020-06-12,4.999998843,1758.6399971367998
TOPS,20.0,0.151,2020-06-12,3.02,1761.6599971367998
VTI,1.270907,157.3679,2020-06-22,199.9999656853,1961.6599628220997
TWTR,-2.0,33.23,2020-06-22,-66.46,1895.1999628220997
TGT,0.08273,120.8751,2020-06-22,9.999997023,1905.1999598450998
HD,0.040291,248.1944,2020-06-22,10.000000570400001,1915.1999604154998
TSM,0.179549,55.6951,2020-06-22,9.999999509899999,1925.1999599253998
DDOG,0.113096,88.4205,2020-06-22,10.000004868000001,1935.1999647933997
NET,0.271333,36.8551,2020-06-22,10.0000048483,1945.1999696416997
DKNG,0.241254,41.4501,2020-06-22,10.0000024254,1955.1999720670997
FB,0.071501,239.8568,2020-06-22,17.150001056799997,1972.3499731238996
VTI,1.266953,157.8591,2020-06-22,200.00006032230002,2172.3500334461996
PLUG,-10.0,6.682,2020-06-23,-66.82000000000001,2105.5300334461995
AMZN,0.018116,2759.9912,2020-06-23,50.0000005792,2155.5300340253993
AAPL,0.546589,365.9056,2020-06-23,199.9999759984,2355.530010023799
MSFT,0.444268,202.5804,2020-06-23,89.9999891472,2445.529999170999
AMZN,0.018117,2759.8388,2020-06-23,49.999999539600005,2495.529998710599
LULU,0.163931,305.0064,2020-06-23,50.000004158399996,2545.530002868999
VTI,0.322809,154.8904,2020-06-24,50.0000151336,2595.530018002599
DKNG,0.47968,35.065,2020-06-25,16.8199792,2612.349997202599
USO,3.0,27.59,2020-06-25,82.77,2695.119997202599
AMD,1.0,51.81,2020-06-25,51.81,2746.9299972025988
DKNG,0.441264,34.9451,2020-06-25,15.420014606399999,2762.3500118089987
VTI,-0.513733,153.6791,2020-06-25,-78.95002508030001,2683.399986728699
HCAT,2.0,31.195,2020-06-25,62.39,2745.7899867286988
FSLY,0.209082,79.2034,2020-06-25,16.5600052788,2762.3499920074987
MU,1.028912,48.595,2020-06-29,49.99997864,2812.3499706474986
PLUG,5.0,8.148,2020-06-29,40.739999999999995,2853.0899706474984
AMZN,0.018598,2688.4611,2020-06-29,49.9999995378,2903.089970185298
GOOGL,0.035952,1390.7432,2020-06-29,49.999999526399996,2953.0899697116984
DOCU,0.293496,170.3601,2020-06-29,50.000007909599994,3003.089977621298
FSLY,0.642008,77.8806,2020-06-29,49.9999682448,3053.0899458660983
FB,0.270791,218.8404,2020-06-29,59.2600107564,3112.349956622498
MU,-1.028912,51.5593,2020-06-30,-53.049982481600004,3059.299974140898
STZ,0.172245,174.1705,2020-06-30,29.999997772500002,3089.299971913398
UXIN,14.084979,1.42,2020-06-30,20.00067018,3109.300642093398
VTI,-0.405378,155.8299,2020-06-30,-63.1700132022,3046.130628891198
CDMO,9.899778,6.689,2020-06-30,66.219615042,3112.350243933198
VTI,0.012747,156.8997,2020-07-01,2.0000004759,3114.3502444090977
UXIN,-14.084979,1.442,2020-07-01,-20.310539718,3094.0397046910975
CDMO,-9.899778,7.1396,2020-07-01,-70.6804550088,3023.3592496822976
SQ,0.525072,114.27,2020-07-01,59.999977439999995,3083.3592271222974
DDOG,0.349163,88.7551,2020-07-01,30.9899969813,3114.3492241035974
AMZN,0.070272,2846.0838,2020-07-01,200.0000007936,3314.3492248971975
GOOGL,0.03475,1438.8489,2020-07-01,49.999999275,3364.3492241721974
PYPL,0.566499,176.5228,2020-07-01,99.99998967719999,3464.3492138493975
FB,0.21272,235.0508,2020-07-01,50.000006176,3514.3492200253977
PLUG,5.0,9.068,2020-07-01,45.339999999999996,3559.689220025398
DDOG,1.0,88.81,2020-07-01,88.81,3648.499220025398
VTI,1.269116,157.59,2020-07-01,199.99999043999998,3848.499210465398
TWLO,0.290831,226.4202,2020-07-01,65.8500131862,3914.349223651598
WKHS,3.0,17.67,2020-07-01,53.010000000000005,3967.3592236515983
JETS,-3.05068,16.5799,2020-07-01,-50.57996933199999,3916.7792543195983
NET,2.0,36.42,2020-07-01,72.84,3989.6192543195984
AAPL,0.067619,365.7256,2020-07-01,24.7299993464,4014.3492536659983
ADI,0.082781,120.8007,2020-07-01,10.0000027467,4024.349256412698
STZ,-0.172245,185.2594,2020-07-01,-31.910005353000003,3992.439251059698
SHOP,0.048416,1032.7165,2020-07-02,50.000002064,4042.439253123698
BABA,0.320547,224.3353,2020-07-02,71.9100074091,4114.349260532798
WKHS,-1.0,21.08,2020-07-02,-21.08,4093.2692605327984
SOLO,6.530239,3.2281,2020-07-02,21.080264515899998,4114.3495250486985
SOLO,-6.530239,4.2403,2020-07-06,-27.690172431700002,4086.6593526169986
CVS,0.230414,65.1002,2020-07-06,14.999997482800001,4101.659350099799
WBA,0.344194,43.5801,2020-07-06,15.0000089394,4116.6593590391985
VTI,-0.327525,160.69,2020-07-07,-52.62999225,4064.0293667891983
LEVI,1.814616,13.777,2020-07-07,24.999964631999998,4089.029331421198
BBBY,0.944733,10.585,2020-07-07,9.999998805,4099.029330226198
LEVI,0.721761,13.855,2020-07-07,9.999998655,4109.029328881198
BBBY,1.005358,10.265,2020-07-07,10.31999987,4119.349328751198
LEVI,-2.536377,12.853,2020-07-08,-32.600053581,4086.7492751701984
CRSP,0.104821,95.4007,2020-07-08,9.9999967747,4096.749271944898
DIS,-0.611551,113.809,2020-07-08,-69.600007759,4027.149264185898
DKNG,1.0,31.43,2020-07-08,31.43,4058.579264185898
AMZN,0.00494,3036.4372,2020-07-08,14.999999767999999,4073.579263953898
AAPL,0.026398,378.8166,2020-07-08,10.0000006068,4083.579264560698
MSFT,0.047659,209.824,2020-07-08,10.000002016,4093.579266576698
GOOGL,0.006666,1500.15,2020-07-08,9.9999999,4103.579266476698
FB,0.041801,239.2287,2020-07-08,9.9999988887,4113.579265365398
TWLO,0.041666,240.0038,2020-07-08,9.9999983308,4123.579263696198
PLUG,-10.0,9.316,2020-07-08,-93.16000000000001,4030.419263696198
WKHS,-2.0,16.675,2020-07-08,-33.35,3997.069263696198
SPOT,0.0908,275.3304,2020-07-08,25.00000032,4022.069264016198
BBBY,-1.950091,9.7175,2020-07-08,-18.9500092925,4003.119254723698
WBA,-0.344194,38.2343,2020-07-09,-13.1600166542,3989.959238069498
CVS,-0.230414,60.7602,2020-07-09,-14.0000007228,3975.959237346698
VTI,1.225118,157.8052,2020-07-09,193.3299910136,4169.289228360298
VTI,-0.366205,159.0639,2020-07-09,-58.249995499499995,4111.039232860798
SOXX,0.177894,281.0663,2020-07-09,50.0000083722,4161.0392412329975
BUD,0.006536,52.0196,2020-07-10,0.3400001056,4161.379241338597
AMD,1.0,56.22,2020-07-10,56.22,4217.5992413385975
DT,1.0,43.05,2020-07-10,43.05,4260.649241338598
HCAT,1.0,34.69,2020-07-10,34.69,4295.339241338597
FSLY,0.402576,99.3601,2020-07-10,39.9999916176,4335.3392329561975
SPOT,0.03638,274.8763,2020-07-10,9.999999794,4345.339232750198
SQ,0.237642,126.2403,2020-07-10,29.9999973726,4375.339230122798
BUD,1.0,53.31,2020-07-10,53.31,4428.649230122798
DOCU,0.118553,210.8761,2020-07-10,24.9999942833,4453.649224406098
FB,0.103446,241.672,2020-07-10,25.000001712,4478.649226118098
AMZN,0.007869,3177.0238,2020-07-10,25.0000002822,4503.649226400298
MSFT,0.11734,213.0561,2020-07-10,25.000002774,4528.649229174298
GOOGL,0.016476,1517.3586,2020-07-10,25.000000293600003,4553.649229467898
NET,1.0,40.72,2020-07-10,40.72,4594.369229467899
NFLX,0.046655,535.8482,2020-07-10,24.999997771,4619.369227238899
SHOP,0.02419,1033.4849,2020-07-10,24.999999731,4644.369226969899
AAPL,0.041643,381.0965,2020-07-10,15.8700015495,4660.239228519398
PYPL,0.056171,178.0278,2020-07-10,9.9999995538,4670.239228073198
VTI,-0.645369,163.1005,2020-07-13,-105.2600065845,4564.979221488698
NFLX,0.175114,571.0566,2020-07-13,100.00000545239999,4664.979226941098
VTI,-0.646078,162.937,2020-07-13,-105.27001108600001,4559.709215855099
XBI,0.856249,116.7885,2020-07-13,100.0000363365,4659.709252191598
WORK,0.295371,35.6501,2020-07-13,10.530005687100001,4670.2392578786985
TSLA,0.032655,1531.1591,2020-07-13,50.00000041050001,4720.239258289199
TTD,-0.142321,433.4568,2020-07-15,-61.6900052328,4658.549253056399
VTI,-0.647584,162.5272,2020-07-15,-105.2500142848,4553.2992387715985
TSM,0.765052,65.355,2020-07-15,49.99997346,4603.299212231598
USO,2.0,29.19,2020-07-15,58.38,4661.679212231598
CPRX,5.0,5.048,2020-07-15,25.240000000000002,4686.919212231598
CRBP,4.0,7.06,2020-07-15,28.24,4715.159212231598
VTI,-1.297521,162.2633,2020-07-15,-210.54003927929998,4504.619172952298
SRNE,4.0,6.435,2020-07-15,25.74,4530.359172952298
VKTX,5.0,6.988,2020-07-15,34.940000000000005,4565.299172952297
BIOC,10.0,0.724,2020-07-15,7.24,4572.539172952297
RIGL,10.0,3.158,2020-07-15,31.58,4604.119172952297
OGEN,10.0,0.897,2020-07-15,8.97,4613.089172952297
XBI,0.407554,115.6902,2020-07-15,47.150003770800005,4660.239176723097
JETS,3.0,16.7667,2020-07-15,50.3001,4710.539276723098
ALK,0.258814,37.4787,2020-07-15,9.700012261800001,4720.239288984898
AMZN,-0.052363,3016.8249,2020-07-15,-157.9700022387,4562.269286746198
VBIV,5.0,4.818,2020-07-15,24.089999999999996,4586.359286746198
AMRN,4.0,6.8975,2020-07-15,27.59,4613.949286746199
MTNB,20.0,0.799,2020-07-15,15.98,4629.929286746198
IBIO,10.0,3.21,2020-07-15,32.1,4662.0292867461985
IBB,0.351012,142.4453,2020-07-15,50.0000096436,4712.029296389798
CUK,0.5858,14.015,2020-07-15,8.209987,4720.239283389798
UBER,-1.049233,32.4523,2020-07-16,-34.050024085900006,4686.189259303898
CRSP,-0.104821,91.5847,2020-07-16,-9.599999838699999,4676.589259465199
CPRX,-5.0,5.042,2020-07-16,-25.21,4651.379259465199
CRBP,-4.0,7.1025,2020-07-16,-28.41,4622.969259465199
SRNE,-4.0,6.8125,2020-07-16,-27.25,4595.719259465199
VKTX,-5.0,7.092,2020-07-16,-35.46,4560.259259465199
BIOC,-10.0,0.693,2020-07-16,-6.93,4553.329259465198
RIGL,-10.0,3.335,2020-07-16,-33.35,4519.979259465198
OGEN,-10.0,1.045,2020-07-16,-10.45,4509.529259465198
VBIV,-5.0,4.83,2020-07-16,-24.15,4485.379259465199
AMRN,-4.0,6.7425,2020-07-16,-26.97,4458.409259465198
MTNB,-20.0,0.777,2020-07-16,-15.540000000000001,4442.869259465198
IBIO,-10.0,3.41,2020-07-16,-34.1,4408.769259465198
IBB,-0.351012,140.9638,2020-07-16,-49.479985365599994,4359.289274099598
XBI,1.294548,115.8706,2020-07-16,150.0000534888,4509.289327588398
ADI,-0.082781,115.6062,2020-07-16,-9.5699968422,4499.719330746198
SOXX,-0.177894,279.5485,2020-07-16,-49.730000859,4449.9893298871975
TSM,1.0,66.25,2020-07-16,66.25,4516.2393298871975
BABA,0.40955,244.1704,2020-07-16,99.99998732,4616.239317207198
LULU,0.159306,313.8614,2020-07-16,50.0000041884,4666.239321395598
TOPS,-70.0,0.107,2020-07-16,-7.49,4658.749321395599
CUK,-0.5858,13.2127,2020-07-16,-7.73999966,4651.009321735599
JETS,2.0,16.695,2020-07-16,33.39,4684.399321735599
BETZ,-5.0,16.422,2020-07-16,-82.11,4602.2893217355995
FSLY,0.12764,78.3453,2020-07-16,9.999994092,4612.289315827599
NFLX,0.061197,490.2201,2020-07-17,29.9999994597,4642.289315287299
OKTA,0.120793,206.9656,2020-07-17,24.999995720799998,4667.2893110080995
BHVN,0.135694,73.6952,2020-07-20,9.999996468800001,4677.2893074769
LVGO,0.08814,113.4559,2020-07-20,10.000003026,4687.2893105029
PTON,0.156985,63.7004,2020-07-20,10.000007294000001,4697.2893177969
SRNE,2.714655,8.4504,2020-07-20,22.939920612,4720.2292384089
VTI,1.212349,164.969,2020-07-22,200.00000218099999,4920.2292405899
VTI,2.455418,162.9051,2020-07-24,400.0001148318,5320.229355421699
AMD,-1.0,85.37,2020-08-04,-85.37,5234.8593554217
PENN,-2.0,37.56,2020-08-04,-75.12,5159.7393554217
SRNE,-2.0,11.9,2020-08-04,-23.8,5135.9393554216995
XBI,-1.0,113.23,2020-08-04,-113.23,5022.7093554217
LVGO,0.355164,140.78,2020-08-04,49.999987919999995,5072.7093433417
OKTA,0.114794,217.7814,2020-08-04,24.999998031599997,5097.7093413733
TGT,0.385594,129.6701,2020-08-04,50.0000125394,5147.7093539127
HD,0.187796,266.2464,2020-08-04,50.00000893439999,5197.7093628471
DOCU,-0.412049,226.8662,2020-08-04,-93.4799908438,5104.2293720033
VTI,1.293142,167.035,2020-08-04,215.99997396999999,5320.2293459733
WORK,-4.0,30.03,2020-08-05,-120.12,5200.1093459733
DIS,0.46864,128.03,2020-08-05,59.9999792,5260.1093251733
NTDOY,1.023406,58.745,2020-08-05,60.11998547,5320.2293106433
DT,-1.0,42.39,2020-08-05,-42.39,5277.8393106432995
BABA,0.084504,264.9579,2020-08-05,22.3900023816,5300.2293130249
SHOP,0.018239,1096.5513,2020-08-05,19.9999991607,5320.2293121856
GOOGL,-0.158612,1495.0949,2020-08-06,-237.1399922788,5083.0893199068005
AMZN,0.031132,3212.129,2020-08-06,100.000000028,5183.0893199348
SRNE,-0.714655,13.6709,2020-08-06,-9.7699770395,5173.3193428953
BHVN,-0.135694,63.1568,2020-08-06,-8.5699988192,5164.7493440761
FSLY,0.276962,90.2651,2020-08-06,25.0000026262,5189.7493467023
SPOT,0.098331,254.2433,2020-08-06,24.9999979323,5214.7493446346
Z,0.606612,82.425,2020-08-07,49.9999941,5264.749338734599
FSLY,0.622161,80.3651,2020-08-07,50.0000309811,5314.7493697157
TTD,0.099887,500.5656,2020-08-07,49.9999960872,5364.7493658029
CVNA,0.25662,194.8406,2020-08-07,49.999994772,5414.7493605749
DDOG,0.656771,76.13,2020-08-07,49.999976229999994,5464.7493368049
DIS,0.382555,130.7002,2020-08-07,50.000015010999995,5514.7493518159
FB,0.184023,271.7052,2020-08-07,50.000006019599994,5564.7493578355
PTON,0.73046,68.45,2020-08-07,49.999987000000004,5614.7493448355
