ticker,shares_bought,avg_price_per_share,date_of_transaction,order_amount,total_amount_bought
AMZN,0.018116,2759.9912,2020-06-23,50.0000005792,3524.2699387807006
AAPL,0.546589,365.9056,2020-06-23,199.9999759984,3724.2699147791004
MSFT,0.44426800000000005,202.5804,2020-06-23,89.9999891472,3814.2699039263002
AMZN,0.018116999999999998,2759.8388,2020-06-23,49.99999953960001,3864.2699034659004
LULU,0.163931,305.0064,2020-06-23,50.0000041584,3914.2699076243002
VTI,0.322809,154.8904,2020-06-24,50.000015133599994,3964.2699227579
DKNG,0.47968,35.065,2020-06-25,16.8199792,3981.0899019579
USO,3.0,27.59,2020-06-25,82.77,4063.8599019579
AMD,1.0,51.81,2020-06-25,51.81,4115.6699019579
DKNG,0.44126400000000005,34.9451,2020-06-25,15.4200146064,4131.0899165643
HCAT,2.0,31.195,2020-06-25,62.39,4193.479916564301
FSLY,0.20908200000000002,79.2034,2020-06-25,16.560005278800002,4210.039921843101
MU,1.028912,48.595,2020-06-29,49.99997864,4260.0399004831015
PLUG,5.0,8.148,2020-06-29,40.74,4300.779900483101
AMZN,0.018598,2688.4611,2020-06-29,49.9999995378,4350.779900020902
GOOGL,0.035952,1390.7432,2020-06-29,49.9999995264,4400.779899547301
DOCU,0.293496,170.3601,2020-06-29,50.0000079096,4450.779907456901
FSLY,0.642008,77.8806,2020-06-29,49.999968244799994,4500.779875701701
FB,0.270791,218.8404,2020-06-29,59.26001075640001,4560.039886458101
STZ,0.172245,174.1705,2020-06-30,29.9999977725,4590.039884230601
UXIN,14.084979,1.42,2020-06-30,20.00067018,4610.0405544106015
CDMO,9.899778,6.689,2020-06-30,66.219615042,4676.260169452602
VTI,0.012747,156.8997,2020-07-01,2.0000004759,4678.260169928502
SQ,0.525072,114.27,2020-07-01,59.99997744,4738.260147368503
DDOG,0.349163,88.7551,2020-07-01,30.989996981300003,4769.250144349802
AMZN,0.070272,2846.0838,2020-07-01,200.0000007936,4969.250145143402
GOOGL,0.03475,1438.8489,2020-07-01,49.999999275,5019.250144418402
PYPL,0.566499,176.5228,2020-07-01,99.99998967719999,5119.250134095601
FB,0.21272,235.0508,2020-07-01,50.00000617600001,5169.250140271602
PLUG,5.0,9.068,2020-07-01,45.34,5214.590140271602
DDOG,1.0,88.81,2020-07-01,88.81,5303.400140271602
VTI,1.269116,157.59,2020-07-01,199.99999044,5503.400130711602
TWLO,0.290831,226.4202,2020-07-01,65.8500131862,5569.250143897802
WKHS,3.0,17.67,2020-07-01,53.01000000000001,5622.260143897803
NET,2.0,36.42,2020-07-01,72.84,5695.100143897803
AAPL,0.067619,365.7256,2020-07-01,24.7299993464,5719.830143244203
ADI,0.082781,120.8007,2020-07-01,10.0000027467,5729.8301459909035
SHOP,0.048416,1032.7165,2020-07-02,50.00000206399999,5779.8301480549035
BABA,0.32054699999999997,224.3353,2020-07-02,71.9100074091,5851.740155464004
SOLO,6.530239,3.2281,2020-07-02,21.080264515899998,5872.820419979904
CVS,0.23041399999999998,65.1002,2020-07-06,14.9999974828,5887.8204174627035
WBA,0.344194,43.5801,2020-07-06,15.0000089394,5902.820426402103
LEVI,1.814616,13.777000000000001,2020-07-07,24.999964631999998,5927.8203910341035
BBBY,0.944733,10.585,2020-07-07,9.999998805,5937.820389839104
LEVI,0.721761,13.855,2020-07-07,9.999998655,5947.820388494104
BBBY,1.005358,10.265,2020-07-07,10.31999987,5958.140388364104
CRSP,0.104821,95.4007,2020-07-08,9.9999967747,5968.140385138804
DKNG,1.0,31.43,2020-07-08,31.43,5999.570385138804
AMZN,0.00494,3036.4372,2020-07-08,14.999999768,6014.570384906804
AAPL,0.026398,378.8166,2020-07-08,10.000000606799999,6024.570385513604
MSFT,0.047659,209.824,2020-07-08,10.000002016,6034.570387529604
GOOGL,0.006666,1500.15,2020-07-08,9.9999999,6044.570387429604
FB,0.041801,239.2287,2020-07-08,9.9999988887,6054.570386318304
TWLO,0.041666,240.0038,2020-07-08,9.9999983308,6064.570384649104
SPOT,0.0908,275.3304,2020-07-08,25.00000032,6089.570384969104
VTI,1.225118,157.8052,2020-07-09,193.3299910136,6282.900375982705
SOXX,0.177894,281.0663,2020-07-09,50.0000083722,6332.900384354904
BUD,0.006536,52.0196,2020-07-10,0.34000010560000005,6333.240384460504
AMD,1.0,56.22,2020-07-10,56.22,6389.460384460504
DT,1.0,43.05,2020-07-10,43.05,6432.510384460505
HCAT,1.0,34.69,2020-07-10,34.69,6467.200384460504
FSLY,0.40257600000000004,99.3601,2020-07-10,39.9999916176,6507.2003760781045
SPOT,0.03638,274.8763,2020-07-10,9.999999793999999,6517.200375872105
SQ,0.23764200000000002,126.2403,2020-07-10,29.999997372600003,6547.200373244705
BUD,1.0,53.31,2020-07-10,53.31,6600.510373244705
DOCU,0.11855299999999999,210.8761,2020-07-10,24.999994283299998,6625.510367528005
FB,0.10344600000000001,241.672,2020-07-10,25.000001712,6650.510369240005
AMZN,0.007869,3177.0238,2020-07-10,25.0000002822,6675.510369522205
MSFT,0.11734000000000001,213.0561,2020-07-10,25.000002774000002,6700.510372296205
GOOGL,0.016475999999999998,1517.3586,2020-07-10,25.000000293600007,6725.510372589805
NET,1.0,40.72,2020-07-10,40.72,6766.2303725898055
NFLX,0.046655,535.8482,2020-07-10,24.999997771,6791.230370360806
SHOP,0.02419,1033.4849,2020-07-10,24.999999731,6816.2303700918055
AAPL,0.041643,381.0965,2020-07-10,15.870001549500001,6832.100371641305
